label,parent,values
3 AVENUE,BRONX,373
ALLERTON AVENUE,BRONX,135
ARNOW AVENUE,BRONX,68
BAINBRIDGE AVENUE,BRONX,67
BARNES AVENUE,BRONX,108
BARTOW AVENUE,BRONX,104
BAYCHESTER AVENUE,BRONX,158
BOSTON ROAD,BRONX,522
BROADWAY,BRONX,99
BRONX PARK EAST,BRONX,94
BRONX RIVER PARKWAY,BRONX,71
BRONXWOOD AVENUE,BRONX,71
BROOK AVENUE,BRONX,92
BRUCKNER BOULEVARD,BRONX,923
BRUCKNER EXPRESSWAY,BRONX,71
BURKE AVENUE,BRONX,72
CASTLE HILL AVENUE,BRONX,126
CLAREMONT PARKWAY,BRONX,114
CRESTON AVENUE,BRONX,80
CROSS BRONX EXPRESSWAY,BRONX,162
CROTONA AVENUE,BRONX,93
EAST 135 STREET,BRONX,84
EAST 138 STREET,BRONX,135
EAST 140 STREET,BRONX,72
EAST 141 STREET,BRONX,70
EAST 144 STREET,BRONX,103
EAST 149 STREET,BRONX,408
EAST 156 STREET,BRONX,109
EAST 161 STREET,BRONX,204
EAST 163 STREET,BRONX,265
EAST 165 STREET,BRONX,134
EAST 167 STREET,BRONX,170
EAST 168 STREET,BRONX,124
EAST 169 STREET,BRONX,118
EAST 170 STREET,BRONX,103
EAST 172 STREET,BRONX,115
EAST 173 STREET,BRONX,102
EAST 174 STREET,BRONX,152
EAST 175 STREET,BRONX,118
EAST 176 STREET,BRONX,95
EAST 177 STREET,BRONX,78
EAST 179 STREET,BRONX,73
EAST 180 STREET,BRONX,208
EAST 181 STREET,BRONX,105
EAST 182 STREET,BRONX,65
EAST 183 STREET,BRONX,115
EAST 184 STREET,BRONX,87
EAST 187 STREET,BRONX,99
EAST 188 STREET,BRONX,91
EAST 222 STREET,BRONX,71
EAST 233 STREET,BRONX,304
EAST FORDHAM ROAD,BRONX,386
EAST GUN HILL ROAD,BRONX,387
EAST TREMONT AVENUE,BRONX,613
EASTCHESTER ROAD,BRONX,116
GARRISON AVENUE,BRONX,71
GRAND AVENUE,BRONX,76
GRAND CONCOURSE,BRONX,594
HUNTS POINT AVENUE,BRONX,153
JEROME AVENUE,BRONX,612
LACONIA AVENUE,BRONX,111
